          #time              R       pressure    -rho*dphi*R             ux             uy             uz             vx             vy             vz
  0.1000799E-03  0.4813901E-01  0.1932338E+06  0.1302895E+06  0.0000000E+00  0.0000000E+00  0.8729131E-07  0.0000000E+00  0.0000000E+00  0.1655642E-02
  0.1014270E-03  0.4820800E-01  0.1922113E+06  0.1298794E+06  0.0000000E+00  0.0000000E+00  0.8953525E-07  0.0000000E+00  0.0000000E+00  0.1674898E-02
  0.1027779E-03  0.4827704E-01  0.1911951E+06  0.1294707E+06  0.0000000E+00  0.0000000E+00  0.9181164E-07  0.0000000E+00  0.0000000E+00  0.1694153E-02
  0.1041328E-03  0.4834612E-01  0.1901850E+06  0.1290634E+06  0.0000000E+00  0.0000000E+00  0.9412066E-07  0.0000000E+00  0.0000000E+00  0.1713406E-02
  0.1054915E-03  0.4841526E-01  0.1891811E+06  0.1286575E+06  0.0000000E+00  0.0000000E+00  0.9646245E-07  0.0000000E+00  0.0000000E+00  0.1732658E-02
  0.1068541E-03  0.4848444E-01  0.1881833E+06  0.1282531E+06  0.0000000E+00  0.0000000E+00  0.9883718E-07  0.0000000E+00  0.0000000E+00  0.1751909E-02
  0.1082206E-03  0.4855367E-01  0.1871915E+06  0.1278500E+06  0.0000000E+00  0.0000000E+00  0.1012450E-06  0.0000000E+00  0.0000000E+00  0.1771159E-02
  0.1095910E-03  0.4862295E-01  0.1862057E+06  0.1274484E+06  0.0000000E+00  0.0000000E+00  0.1036861E-06  0.0000000E+00  0.0000000E+00  0.1790410E-02
  0.1109653E-03  0.4869228E-01  0.1852259E+06  0.1270481E+06  0.0000000E+00  0.0000000E+00  0.1061606E-06  0.0000000E+00  0.0000000E+00  0.1809660E-02
  0.1123436E-03  0.4876165E-01  0.1842521E+06  0.1266493E+06  0.0000000E+00  0.0000000E+00  0.1086688E-06  0.0000000E+00  0.0000000E+00  0.1828910E-02
  0.1137257E-03  0.4883107E-01  0.1832841E+06  0.1262518E+06  0.0000000E+00  0.0000000E+00  0.1112107E-06  0.0000000E+00  0.0000000E+00  0.1848161E-02
  0.1151118E-03  0.4890054E-01  0.1823220E+06  0.1258557E+06  0.0000000E+00  0.0000000E+00  0.1137865E-06  0.0000000E+00  0.0000000E+00  0.1867413E-02
  0.1165019E-03  0.4897006E-01  0.1813657E+06  0.1254609E+06  0.0000000E+00  0.0000000E+00  0.1163964E-06  0.0000000E+00  0.0000000E+00  0.1886666E-02
  0.1178959E-03  0.4903963E-01  0.1804152E+06  0.1250676E+06  0.0000000E+00  0.0000000E+00  0.1190406E-06  0.0000000E+00  0.0000000E+00  0.1905921E-02
  0.1192939E-03  0.4910924E-01  0.1794704E+06  0.1246755E+06  0.0000000E+00  0.0000000E+00  0.1217193E-06  0.0000000E+00  0.0000000E+00  0.1925177E-02
  0.1206958E-03  0.4917890E-01  0.1785313E+06  0.1242849E+06  0.0000000E+00  0.0000000E+00  0.1244325E-06  0.0000000E+00  0.0000000E+00  0.1944434E-02
  0.1221017E-03  0.4924861E-01  0.1775978E+06  0.1238955E+06  0.0000000E+00  0.0000000E+00  0.1271806E-06  0.0000000E+00  0.0000000E+00  0.1963694E-02
  0.1235116E-03  0.4931837E-01  0.1766700E+06  0.1235076E+06  0.0000000E+00  0.0000000E+00  0.1299636E-06  0.0000000E+00  0.0000000E+00  0.1982957E-02
  0.1249255E-03  0.4938818E-01  0.1757478E+06  0.1231209E+06  0.0000000E+00  0.0000000E+00  0.1327817E-06  0.0000000E+00  0.0000000E+00  0.2002222E-02
  0.1263434E-03  0.4945803E-01  0.1748311E+06  0.1227356E+06  0.0000000E+00  0.0000000E+00  0.1356351E-06  0.0000000E+00  0.0000000E+00  0.2021490E-02
  0.1277653E-03  0.4952793E-01  0.1739199E+06  0.1223516E+06  0.0000000E+00  0.0000000E+00  0.1385240E-06  0.0000000E+00  0.0000000E+00  0.2040762E-02
  0.1291913E-03  0.4959788E-01  0.1730142E+06  0.1219689E+06  0.0000000E+00  0.0000000E+00  0.1414486E-06  0.0000000E+00  0.0000000E+00  0.2060037E-02
  0.1306213E-03  0.4966788E-01  0.1721139E+06  0.1215875E+06  0.0000000E+00  0.0000000E+00  0.1444090E-06  0.0000000E+00  0.0000000E+00  0.2079315E-02
  0.1320553E-03  0.4973792E-01  0.1712191E+06  0.1212074E+06  0.0000000E+00  0.0000000E+00  0.1474054E-06  0.0000000E+00  0.0000000E+00  0.2098598E-02
  0.1334933E-03  0.4980801E-01  0.1703296E+06  0.1208287E+06  0.0000000E+00  0.0000000E+00  0.1504381E-06  0.0000000E+00  0.0000000E+00  0.2117885E-02
  0.1349354E-03  0.4987815E-01  0.1694454E+06  0.1204512E+06  0.0000000E+00  0.0000000E+00  0.1535071E-06  0.0000000E+00  0.0000000E+00  0.2137176E-02
  0.1363816E-03  0.4994834E-01  0.1685665E+06  0.1200750E+06  0.0000000E+00  0.0000000E+00  0.1566126E-06  0.0000000E+00  0.0000000E+00  0.2156472E-02
  0.1378318E-03  0.5001858E-01  0.1676928E+06  0.1197001E+06  0.0000000E+00  0.0000000E+00  0.1597549E-06  0.0000000E+00  0.0000000E+00  0.2175774E-02
  0.1392862E-03  0.5008886E-01  0.1668244E+06  0.1193264E+06  0.0000000E+00  0.0000000E+00  0.1629341E-06  0.0000000E+00  0.0000000E+00  0.2195080E-02
