         # time          P(Pa)
   0.335284E+00   0.512204E+05
   0.336052E+00   0.476637E+05
   0.336860E+00   0.441560E+05
   0.337711E+00   0.407116E+05
   0.338608E+00   0.373419E+05
   0.339553E+00   0.340555E+05
   0.340548E+00   0.308588E+05
   0.341597E+00   0.277562E+05
   0.342702E+00   0.247504E+05
   0.343865E+00   0.218428E+05
   0.345090E+00   0.190336E+05
   0.346380E+00   0.163222E+05
   0.347736E+00   0.137072E+05
   0.349163E+00   0.111866E+05
   0.350662E+00   0.875832E+04
   0.352236E+00   0.641972E+04
   0.353888E+00   0.416813E+04
   0.355621E+00   0.200075E+04
   0.357438E+00  -0.851737E+02
   0.359340E+00  -0.209239E+04
   0.361330E+00  -0.402355E+04
   0.363410E+00  -0.588116E+04
   0.365582E+00  -0.766761E+04
   0.367848E+00  -0.938508E+04
   0.370211E+00  -0.110356E+05
   0.372670E+00  -0.126210E+05
   0.375228E+00  -0.141429E+05
   0.377885E+00  -0.156027E+05
   0.380642E+00  -0.170017E+05
   0.383500E+00  -0.183410E+05
   0.386458E+00  -0.196214E+05
   0.389516E+00  -0.208436E+05
   0.392673E+00  -0.220083E+05
   0.395928E+00  -0.231157E+05
   0.399280E+00  -0.241661E+05
   0.402728E+00  -0.251598E+05
   0.406267E+00  -0.260968E+05
   0.409897E+00  -0.269769E+05
   0.413613E+00  -0.278001E+05
   0.417412E+00  -0.285662E+05
   0.421291E+00  -0.292749E+05
   0.425244E+00  -0.299261E+05
   0.429267E+00  -0.305193E+05
   0.433355E+00  -0.310543E+05
   0.437502E+00  -0.315309E+05
   0.441703E+00  -0.319488E+05
   0.445950E+00  -0.323077E+05
   0.450239E+00  -0.326075E+05
   0.454562E+00  -0.328481E+05
   0.458912E+00  -0.330294E+05
   0.463283E+00  -0.331514E+05
   0.467666E+00  -0.332142E+05
   0.472056E+00  -0.332180E+05
   0.476445E+00  -0.331629E+05
   0.480826E+00  -0.330494E+05
   0.485191E+00  -0.328779E+05
   0.489534E+00  -0.326487E+05
   0.493848E+00  -0.323626E+05
   0.498126E+00  -0.320200E+05
   0.502362E+00  -0.316218E+05
   0.506549E+00  -0.311687E+05
   0.510683E+00  -0.306614E+05
   0.514757E+00  -0.301010E+05
   0.518767E+00  -0.294882E+05
   0.522707E+00  -0.288241E+05
   0.526573E+00  -0.281095E+05
   0.530362E+00  -0.273455E+05
   0.534070E+00  -0.265331E+05
   0.537693E+00  -0.256733E+05
   0.541228E+00  -0.247670E+05
   0.544675E+00  -0.238153E+05
   0.548030E+00  -0.228192E+05
   0.551292E+00  -0.217796E+05
   0.554461E+00  -0.206975E+05
   0.557535E+00  -0.195738E+05
   0.560513E+00  -0.184095E+05
   0.563397E+00  -0.172056E+05
   0.566186E+00  -0.159631E+05
   0.568880E+00  -0.146828E+05
   0.571481E+00  -0.133659E+05
   0.573990E+00  -0.120135E+05
   0.576408E+00  -0.106265E+05
   0.578737E+00  -0.920641E+04
   0.580978E+00  -0.775439E+04
   0.583133E+00  -0.627194E+04
   0.585205E+00  -0.476069E+04
   0.587196E+00  -0.322242E+04
   0.589107E+00  -0.165914E+04
   0.590942E+00  -0.730890E+02
   0.592703E+00   0.153325E+04
   0.594393E+00   0.315712E+04
   0.596013E+00   0.479546E+04
   0.597567E+00   0.644493E+04
   0.599058E+00   0.810188E+04
   0.600488E+00   0.976234E+04
   0.601859E+00   0.114221E+05
   0.603175E+00   0.130766E+05
   0.604438E+00   0.147212E+05
   0.605650E+00   0.163508E+05
